Team,Year,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Charlotte Hornets,1994-95,82,50,32,241.5,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6
Washington Bullets,1994-95,82,21,61,242.1,38.7,84.1,0.46,5.3,15.4,0.343,33.5,68.7,0.487,17.8,24.5,0.724,12.7,27.1,39.8,21.3,7.9,4.9,15.9,23.8,100.5
Milwaukee Bucks,1994-95,82,34,48,242.1,36.9,80.3,0.459,6,16.5,0.366,30.8,63.9,0.483,19.6,27.5,0.712,13,26.7,39.6,21.2,8.2,4.4,17,22.7,99.3
Indiana Pacers,1994-95,82,52,30,241.2,36.4,76.2,0.477,4.6,12,0.38,31.8,64.2,0.496,21.9,29.1,0.751,12.8,27.9,40.7,22.9,8.6,4.4,16.3,23.6,99.2
Sacramento Kings,1994-95,82,39,43,242.1,36.9,78.8,0.468,4.4,12.6,0.346,32.5,66.2,0.491,20.1,28.3,0.711,13.1,28.4,41.4,22.2,7.9,5.6,17.7,24.9,98.2
New York Knicks,1994-95,82,55,27,241.2,36.4,78,0.467,6.5,17.6,0.368,29.9,60.3,0.496,18.9,25.8,0.734,11.3,30.2,41.5,25.1,7.2,4.7,15.9,25.6,98.2
Detroit Pistons,1994-95,82,28,54,240.6,37.3,80.9,0.461,6,17,0.354,31.3,63.9,0.49,17.5,23.7,0.741,11.7,26.9,38.6,22.8,8.6,5.1,16.1,26.2,98.2
New Jersey Nets,1994-95,82,30,52,242.4,35.8,82.2,0.436,5,15.8,0.319,30.8,66.4,0.464,21.3,28.1,0.759,14.8,31.3,46.1,23,6.6,6.7,15.9,22.5,98.1
Los Angeles Clippers,1994-95,82,17,65,242.4,37.3,84,0.444,4,12.8,0.315,33.3,71.2,0.468,18,25.4,0.71,13,25.3,38.3,22,9.6,5.3,16.3,26.2,96.7
Atlanta Hawks,1994-95,82,42,40,242.1,36.4,81.5,0.447,6.6,19.3,0.341,29.8,62.2,0.48,17.2,23.8,0.724,13.5,27.7,41.2,21.4,9,5,14.9,22,96.6
Philadelphia 76ers,1994-95,82,24,58,241.5,36,80.2,0.448,4.3,11.4,0.379,31.6,68.8,0.46,19.1,25.9,0.737,13.5,27.2,40.7,19.1,7.8,7,16.5,22.4,95.4
Minnesota Timberwolves,1994-95,82,21,61,241.2,34,75.8,0.449,3.9,12.4,0.313,30.2,63.5,0.475,22.2,28.7,0.775,10.8,25.5,36.3,21.7,7.4,4.9,17.1,25.3,94.2
Cleveland Cavaliers,1994-95,82,43,39,243,33.6,76.3,0.441,4.9,12.6,0.385,28.8,63.7,0.452,18.4,24.2,0.76,12.7,27.3,40,20.4,7.7,4.3,14.3,20.7,90.5
Chicago Bulls,1995-96,82,72,10,240.6,40.2,84,0.478,6.6,16.5,0.403,33.5,67.6,0.496,18.2,24.4,0.746,15.2,29.4,44.6,24.8,9.1,4.2,14.3,22,105.2
